% Model:              C1Eq.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 10 2021, 09:42
% Dimension:          2
% Nodes:              10201
% Expressions:        9
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Dependent variable u5, Gradient of u5, x component, , , Gradient of u3, y component
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u5 (1)                   u5x (1/m)                -u*u3+u3x                -u*u5+u5x                u3y (1/m)
-0.07                     -0.5                     -9.112592587783933E-16   7.639801981892916E-20    0.4531509917997894       -0.46721129206917283     0.45673738671164793      -0.46464897893495777     -0.46721129206917245     -0.4646489789349574      0.004531519116695987
-0.06                     -0.5                     6.421703515364798E-17    -9.267343802395899E-21   0.4484579345170418       -0.47140326138613736     0.4520694508664584       -0.46894547517288326     -0.4714032613861374      -0.4689454751728833      0.004484594325833942
-0.04999999999999999      -0.5                     3.429627759734814E-16    -5.812564699766743E-20   0.44372288058092246      -0.47560877950655306     0.44735833386725415      -0.4732849519876355      -0.4756087795065532      -0.47328495198763565     0.0044372475864184295
-0.03999999999999998      -0.5                     9.278731331717167E-16    -2.816481972136348E-19   0.4389457599679901       -0.4798135927403507      0.44260361463022585      -0.4776655781634228      -0.47981359274035107     -0.4776655781634232      0.004389499947571823
-0.02999999999999997      -0.5                     1.4126052048701402E-15   -6.417345518955399E-19   0.4341266867323201       -0.48399415921393013     0.43780489161535613      -0.48208549025206815     -0.48399415921393074     -0.48208549025206876     0.004341311834448175
-0.020000000000000018     -0.5                     2.357483005762386E-15    -1.870822469350424E-18   0.42926609644284097      -0.48810705109009805     0.4329617698474699       -0.48654647131871975     -0.48810705109009905     -0.48654647131872075     0.004292884655986356
-0.010000000000000009     -0.5                     -1.8991531650455547E-15  3.4192409270786785E-18   0.4243650531340461       -0.49206195728424373     0.4280737426579287       -0.4910779552981741      -0.4920619572842429      -0.4910779552981733      0.004243884011220759
0                         -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.010000000000000009      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.020000000000000018      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.030000000000000027      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.040000000000000036      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.050000000000000044      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.06000000000000005       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.07000000000000006       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.07999999999999996       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.08999999999999997       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.09999999999999998       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.10999999999999999       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.12                      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.13                      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.14                      -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.15000000000000002       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.16000000000000003       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.17000000000000004       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.18000000000000005       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.19000000000000006       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.20000000000000007       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.20999999999999996       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.21999999999999997       -0.5                     NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
