% Model:              C1EqPe1Eps01.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 2 2021, 22:50
% Dimension:          2
% Nodes:              10201
% Expressions:        11
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u4, Gradient of u4, x component, Gradient of u4, y component, Dependent variable u6, Gradient of u6, x component, Gradient of u6, y component, , , Gradient of u4, y component
% Length unit:        m
% x                       y                        u2 (m/s)                 v2 (m/s)                 u4 (1)                   u4x (1/m)                u4y (1/m)                u6 (1)                   u6x (1/m)                u6y (1/m)                -u2*u4+u4x               -u2*u6+u6x               u4y (1/m)
0.14                      -0.5                     2.026463787404909E-16    4.671434446066447E-21    0.9026339460423962       -0.01795333390104913     0.009026417307685317     0.9026339460423962       -0.01795333390104913     0.00902641730757163      -0.017953333901049313    -0.017953333901049313    0.009026417307685317
0.15000000000000002       -0.5                     1.5026382761968507E-16   2.5493864331650885E-21   0.9024544490482744       -0.017945890121771606    0.009024618768972868     0.9024544490482744       -0.017945890121782222    0.009024618768960966     -0.01794589012177174     -0.017945890121782358    0.009024618768972868
0.16000000000000003       -0.5                     -9.294500442672911E-16   -1.599974327987927E-20   0.9022750312067732       -0.017937527844889337    0.009022821489809388     0.9022750312067732       -0.017937527844889337    0.009022821489809388     -0.017937527844888498    -0.017937527844888498    0.009022821489809388
0.17000000000000004       -0.5                     1.750346499110343E-16    2.3196995297546603E-21   0.9020957017298055       -0.0179282295104655      0.009021025466886993     0.9020957017298055       -0.0179282295104655      0.009021025466886993     -0.01792822951046566     -0.01792822951046566     0.009021025466886993
0.18000000000000005       -0.5                     -6.407285967823731E-16   -8.490330660769377E-21   0.9019164689269524       -0.017918214043935808    0.009019230681096948     0.9019164689269524       -0.017918214043935808    0.009019230681096948     -0.01791821404393523     -0.01791821404393523     0.009019230681096948
0.19000000000000006       -0.5                     5.350505606051365E-16    5.565278486252486E-21    0.9017373399135136       -0.017907481489805217    0.00901743696354784      0.9017373399135137       -0.017907481489805217    0.009017436963405732     -0.0179074814898057      -0.0179074814898057      0.00901743696354784
0.20000000000000007       -0.5                     1.7638292930230733E-17   1.840843008395818E-22    0.9015583210656964       -0.017896198700188735    0.009015644395252211     0.9015583210656963       -0.017896198700131892    0.009015644395436952     -0.017896198700188753    -0.01789619870013191     0.009015644395252211
0.20999999999999996       -0.5                     -4.345081382090767E-16   -3.585023163071783E-21   0.901379417778426        -0.017884377604401612    0.009013853146037903     0.9013794177784259       -0.017884377604430034    0.009013853146180011     -0.01788437760440122     -0.01788437760442964     0.009013853146037903
0.21999999999999997       -0.5                     2.1670931714222195E-16   1.7313305010405605E-21   0.901200634833127        -0.017872145248906412    0.009012063420077815     0.9012006348331271       -0.01787214524891424     0.00901206341994848      -0.017872145248906606    -0.017872145248914433    0.009012063420077815
0.22999999999999998       -0.5                     1.5845062969591833E-16   1.0185327973004729E-21   0.9010219762005108       -0.017859522125474564    0.009010275197467863     0.9010219762005108       -0.017859522125474564    0.009010275197467863     -0.017859522125474706    -0.017859522125474706    0.009010275197467863
0.24                      -0.5                     3.5149483225005705E-16   2.2388589690097635E-21   0.9008434453352674       -0.017846604121561076    0.009008488409285278     0.9008434453352674       -0.017846604121504232    0.009008488409285278     -0.01784660412156139     -0.017846604121504548    0.009008488409285278
0.25                      -0.5                     -4.264564203877594E-16   -2.205408683887793E-21   0.9006650450269885       -0.017833417014727168    0.009006703009793504     0.9006650450269885       -0.017833417014727168    0.009006703009793504     -0.017833417014726783    -0.017833417014726783    0.009006703009793504
0.26                      -0.5                     -8.704716401231087E-16   -4.345351014883851E-21   0.9004867776272303       -0.017820032326602467    0.009004919113533731     0.9004867776272303       -0.017820032326602467    0.009004919113420044     -0.017820032326601683    -0.017820032326601683    0.009004919113533731
0.27                      -0.5                     3.822836347223001E-17    1.580356019968775E-22    0.9003086449488783       -0.017806478529975224    0.009003136685798843     0.9003086449488783       -0.017806478529969385    0.009003136685816465     -0.01780647852997526     -0.01780647852996942     0.009003136685798843
0.28                      -0.5                     3.927162972567975E-17    1.5738402672894107E-22   0.9001306484267977       -0.01779280884094039     0.009001355768760922     0.9001306484267977       -0.01779280884094039     0.009001355768874609     -0.017792808840940425    -0.017792808840940425    0.009001355768760922
0.29000000000000004       -0.5                     8.764472566193317E-18    2.909503690105905E-23    0.8999527890633818       -0.017779052224922227    0.008999576304654174     0.8999527890633818       -0.017779052224922227    0.008999576304654174     -0.017779052224922234    -0.017779052224922234    0.008999576304654174
0.30000000000000004       -0.5                     8.785353310127896E-17    2.777025989432066E-22    0.8997750675349185       -0.017765247650721575    0.008997798251486468     0.8997750675349186       -0.017765247650721575    0.008997798251372782     -0.017765247650721655    -0.017765247650721655    0.008997798251486468
0.31000000000000005       -0.5                     2.440485051894127E-16    6.301765541151284E-22    0.8995974841783079       -0.017751423004513236    0.008996021638689743     0.8995974841783079       -0.017751423004513236    0.008996021638689743     -0.017751423004513454    -0.017751423004513454    0.008996021638689743
0.32000000000000006       -0.5                     2.8561244472289227E-16   7.025839307089285E-22    0.8994200390476867       -0.01773760649896323     0.008994246531037132     0.8994200390476867       -0.01773760649896323     0.008994246530923445     -0.017737606498963488    -0.017737606498963488    0.008994246531037132
