% Model:              C2EQPeEpsMin1Eps002.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jun 4 2021, 09:47
% Dimension:          2
% Nodes:              4001
% Expressions:        10
% Description:        Velocity field, x component, Velocity field, y component, Dependent variable u3, Gradient of u3, x component, Gradient of u3, y component, , , , , 
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  u3 (1)                   u3x (1/m)                u3y (1/m)                -u*u3+0.1*u3x            u5 (1)                   u5x (1/m)                u5y (1/m)                -u*u5+0.1*u5x
-0.916                    -0.5                     0.9797002640822906       4.0022277308154295E-5    0.9999997355382889       -8.488664582000616E-6    2.223693685511748E-9     -0.9797008538555406      0                        0                        0                        0
-0.915                    -0.5                     0.9792335686884416       4.044731459503139E-5     0.9999997269374395       -8.713034881404075E-6    2.3040626829322026E-9    -0.9792341725999042      0                        0                        0                        0
-0.914                    -0.5                     0.9787620707647328       4.087131766214536E-5     0.9999997181122192       -8.937405177254816E-6    2.384431680357117E-9     -0.9787626886041825      0                        0                        0                        0
-0.913                    -0.5                     0.9782857703111653       4.129428650949659E-5     0.999999709062629        -9.161775467776487E-6    2.4647846905682465E-9    -0.978286401868822       0                        0                        0                        0
-0.912                    -0.5                     0.977804667327738        4.1716221137085814E-5    0.9999996997886681       -9.38614575829816E-6     2.5451572407041636E-9    -0.9778053123942723      0                        0                        0                        0
-0.911                    -0.5                     0.9773187618144519       4.213712154491233E-5     0.9999996902903373       -9.610516047931654E-6    2.625496928238998E-9     -0.9773194201809926      0                        0                        0                        0
-0.91                     -0.5                     0.9768280537713065       4.255698773297574E-5     0.9999996805676363       -9.834886355772804E-6    2.705899676442969E-9     -0.976828725229448       0                        0                        0                        0
-0.909                    -0.5                     0.9763325431983019       4.2975819701276956E-5    0.9999996706205646       -1.0059256645850388E-5   2.786230482193606E-9     -0.9763332275401045      0                        0                        0                        0
-0.908                    -0.5                     0.975832230095438        4.339361744981579E-5     0.999999660449123        -1.0283626939924772E-5   2.8665781633342177E-9    -0.9758329271134425      0                        0                        0                        0
-0.907                    -0.5                     0.9753271144627147       4.381038097859164E-5     0.9999996500533108       -1.0507997225117375E-5   2.9469222917624883E-9    -0.9753278239499426      0                        0                        0                        0
-0.906                    -0.5                     0.9748171963001323       4.4226110287605E-5       0.9999996394331285       -1.073236751919176E-5    3.027355238030945E-9     -0.9748179180500975      0                        0                        0                        0
-0.905                    -0.5                     0.9743024756076906       4.464080537685568E-5     0.9999996285885759       -1.0956737829253357E-5   3.1077242354540755E-9    -0.9743032094144035      0                        0                        0                        0
-0.904                    -0.5                     0.9737829523853898       4.5054466246343894E-5    0.9999996175196529       -1.1181108139314953E-5   3.188015073177164E-9     -0.9737836980433622      0                        0                        0                        0
-0.903                    -0.5                     0.9732586266332297       4.5467092896069455E-5    0.9999996062263594       -1.140547842806027E-5    3.2683840705994023E-9    -0.9732593839374799      0                        0                        0                        0
-0.902                    -0.5                     0.9727295506893079       4.587868455941211E-5     0.9999995948001558       -1.1493249178646556E-5   3.2835470041951356E-9    -0.9727303058643634      0                        0                        0                        0
-0.901                    -0.5                     0.9721959021254579       4.62892839209495E-5      0.9999995831253465       -1.1856369627444998E-5   3.4523014368396233E-9    -0.9721966824785908      0                        0                        0                        0
-0.9                      -0.5                     0.9716576907190934       4.669890482717643E-5     0.9999995710874165       -1.2219490012294592E-5   3.6209563935103876E-9    -0.9716584959118842      0                        0                        0                        0
-0.899                    -0.5                     0.9711149164702138       4.710754727809292E-5     0.9999995586863663       -1.258261045043489E-5    3.789732142441589E-9     -0.9711157461650062      0                        0                        0                        0
-0.898                    -0.5                     0.9705675793788195       4.751521127369891E-5     0.9999995459221955       -1.2945730851271696E-5   3.958429731669537E-9     -0.9705684332387092      0                        0                        0                        0
-0.897                    -0.5                     0.9700156794449107       4.792189681399438E-5     0.9999995327949046       -1.330885128763564E-5    4.127162848037754E-9     -0.9700165571337714      0                        0                        0                        0
-0.896                    -0.5                     0.9694592166684871       4.832760389897921E-5     0.9999995193044933       -1.3671971704459655E-5   4.295871095410219E-9     -0.9694601178509682      0                        0                        0                        0
